BJD - 2454833, Corrected Flux
1939.109750011,1.000056259
1939.130181745,1.000035625
1939.150613280,0.999851907
1939.171044915,0.999960953
1939.191476650,1.000036161
1939.211908284,1.000000917
1939.232339818,0.999991032
1939.252771553,1.000010870
1939.273203187,1.000019601
1939.293634721,1.000119607
1939.334498088,1.000152396
1939.436656255,1.000019902
1939.457087888,0.999899343
1939.477519621,1.000105936
1939.497951153,0.999883658
1939.518382786,0.999987206
1939.538814518,1.000043588
1939.559246051,1.000121400
1939.579677683,1.000442057
1939.600109415,1.000162181
1939.620540947,1.000115070
1939.640972579,1.000183350
1939.661404311,1.000178315
1939.681835842,1.000175103
1939.702267574,1.000074443
1939.722699205,1.000104992
1939.743130736,1.000162030
1939.763562468,1.000281251
1939.783994099,1.000144245
1939.804425629,1.000105626
1939.824857360,1.000125219
1939.845288991,1.000142368
1939.865720522,1.000101742
1939.886152252,1.000122415
1939.906583882,0.999886990
1939.927015412,1.000083521
1939.967878772,0.999824207
1939.988310502,0.999883422
1940.008742032,0.999868200
1940.029173662,0.999832965
1940.049605391,0.999879286
1940.070036921,0.999802685
1940.090468550,0.999883176
1940.110900279,0.999885683
1940.192626794,0.999727119
1940.213058423,0.999637453
1940.233490051,0.999732905
1940.253921680,0.999840504
1940.274353308,0.999827980
1940.294784936,0.999894233
1940.315216564,0.999905514
1940.335648192,0.999967080
1940.356079820,1.000041006
1940.396943075,1.000007856
1940.417374702,0.999830663
1940.437806230,1.000374815
1940.458237957,0.999977181
1940.478669584,1.000018799
1940.499101311,1.000133682
1940.519532838,1.000103987
1940.539964465,1.000123739
1940.560396192,1.000213333
1940.580827718,1.000208726
1940.662554223,1.000030183
1940.682985949,1.000131400
1940.703417575,1.000245468
1940.723849101,1.000322409
1940.744280827,0.999878653
1940.764712452,1.000063071
1940.785144078,1.000194363
1940.805575703,1.000157332
1940.826007328,1.000376020
1940.866870579,1.000258202
1940.887302203,1.000367405
1940.907733928,1.000327622
1940.928165453,1.000323300
1940.948597078,1.000303313
1940.969028802,1.000158092
1940.989460327,1.000396975
1941.009892051,1.000507352
1941.030323575,1.000108687
1941.050755199,1.000287562
1941.071186923,1.000108455
1941.152913318,1.000067541
1941.173344942,1.000087828
1941.193776665,1.000418208
1941.214208288,1.000132918
1941.234639811,1.000247060
1941.255071534,1.000220426
1941.275503158,1.000364929
1941.295934780,1.000260451
1941.316366403,1.000179167
1941.357229748,1.000208339
1941.377661271,1.000305328
1941.398092893,1.000262996
1941.418524615,1.000442165
1941.438956138,1.000431183
1941.459387760,1.000259785
1941.479819482,1.000314176
1941.500251003,1.000284545
1941.520682725,1.000339128
1941.541114347,1.000269796
1941.561545868,1.000126068
1941.622840733,1.000194801
1941.643272454,1.000178340
1941.663704075,1.000159821
1941.684135696,1.000090707
1941.704567317,1.000055172
1941.724998937,1.000199441
1941.745430458,1.000301844
1941.765862179,1.000022934
1941.786293799,1.000183635
1941.806725420,1.000240487
1941.827157040,0.999964916
1941.868020380,1.000137669
1941.888451900,1.000072845
1941.908883520,1.000203778
1941.929315240,1.000198867
1941.949746760,1.000214240
1941.970178379,1.000169501
1941.990610099,1.000174200
1942.011041618,1.000164617
1942.031473338,1.000300117
1942.051904957,1.000146659
1942.113199814,1.000240355
1942.133631333,1.000235043
1942.174494671,1.000185198
1942.194926289,1.000265193
1942.215357908,1.000140298
1942.235789526,1.000196297
1942.256221245,1.000215756
1942.276652763,1.000032357
1942.297084381,1.000362105
1942.378810953,1.000423290
1942.399242471,1.000150753
1942.419674088,1.000220168
1942.440105806,1.000498308
1942.460537323,1.000527457
1942.480968941,1.000177790
1942.501400658,1.000208983
1942.521832175,1.000369405
1942.542263892,1.000239428
1942.603558743,1.000338669
1942.623990360,1.000533985
1942.644421877,1.000370159
1942.664853593,1.000535287
1942.685285210,1.000216256
1942.705716826,1.000437195
1942.726148443,1.000082620
1942.746580059,1.000081916
1942.807874907,1.000365715
1942.828306623,1.000271939
1942.848738239,1.000156815
1942.869169755,1.000149389
1942.889601470,1.000258696
1942.910033086,1.000129360
1942.930464601,1.000220485
1942.950896317,1.000179260
1942.971327932,1.000194329
1942.991759647,1.000237101
1943.012191163,1.000233543
1943.032622778,1.000266402
1943.053054393,1.000308212
1943.114349237,1.000240617
1943.134780852,1.000270896
1943.155212366,1.000164587
1943.175644081,1.000168234
1943.196075695,1.000277476
1943.216507310,1.000472570
1943.236938924,1.000122090
1943.257370538,1.000173161
1943.277802252,1.000323754
1943.379960222,1.000189316
1943.420823549,1.000213977
1943.441255063,1.000185495
1943.461686776,1.000254019
1943.482118390,1.000146012
1943.502550103,1.000263214
1943.522981616,1.000288937
1943.563844942,1.000092098
1943.584276455,1.000137609
1943.604708068,1.000341531
1943.625139781,1.000299533
1943.645571294,1.000218831
1943.666002906,1.000084796
1943.727297844,1.000036858
1943.747729456,1.000227846
1943.768160969,1.000333278
1943.849887517,1.000164431
1943.870319029,1.000072574
1943.890750641,1.000008794
1943.911182353,0.999978958
1943.952045476,0.999892603
1943.972477188,0.999877393
1943.992908800,1.000003313
1944.013340411,1.000042270
1944.115498467,0.999646810
1944.135930178,0.999868753
1944.156361689,0.999818688
1944.197225011,1.000025966
1944.217656522,0.999868248
1944.238088233,0.999957296
1944.258519843,0.999969512
1944.278951354,0.999987861
1944.340246285,0.999953875
1944.360677895,0.999986859
1944.381109506,0.999884370
1944.401541116,0.999851763
1944.421972726,1.000434790
1944.442404336,1.000035733
1944.462835946,1.000329081
1944.483267556,1.000064012
1944.503699166,0.999991147
1944.585425704,0.999957203
1944.605857214,1.000046127
1944.626288823,1.000427574
1944.646720533,1.000175767
1944.667152042,1.000071696
1944.687583751,1.000112377
1944.708015361,1.000162235
1944.728446870,1.000124880
1944.810173406,1.000030939
